Result,Season,Score.Diff,Seed.Diff,Higher.Seed,SAG.Diff,Higher.SAG
Win,2004,17,-13,2,-143,7
Win,2004,7,-3,7,-9,47
Win,2004,35,-15,1,-262,1
Win,2004,27,-13,2,-148,3
Loss,2004,-15,-7,5,-38,19
Win,2004,3,-9,4,-25,17
Loss,2004,-6,-3,7,19,25
Win,2004,11,-5,6,-30,13
Win,2004,4,-1,8,2,32
Win,2004,19,-15,1,-194,2
Win,2004,26,-15,1,-227,6
Win,2004,5,-7,5,5,30
Win,2004,17,-11,3,-101,15
Win,2004,3,-1,8,-5,26
Win,2004,1,-9,4,-68,11
Win,2004,7,-5,6,-1,38
Win,2004,3,-9,4,-59,14
Win,2004,5,-11,3,-76,8
Win,2004,19,-7,5,-32,18
Win,2004,25,-9,4,-57,23
Win,2004,20,-15,1,-283,4
Win,2004,16,-3,7,5,24
Win,2004,33,-13,2,-172,9
Win,2004,9,-11,3,-59,12
Win,2004,19,-13,2,-122,5
Loss,2004,-8,-7,5,-50,22
Win,2004,9,-11,3,-76,10
Loss,2004,-2,-1,8,13,40
Win,2004,13,-5,6,-7,21
Win,2004,12,-5,6,-29,16
Win,2004,10,-3,7,17,20
Loss,2004,-3,-7,1,-27,6
Win,2004,17,-5,2,-40,7
Win,2004,28,-7,1,-33,1
Loss,2004,-19,-8,2,-22,3
Win,2004,5,-7,1,-24,2
Loss,2004,-2,-1,4,-18,17
Win,2004,3,-3,3,2,13
Win,2004,4,-8,4,-46,11
Win,2004,3,-3,3,-30,8
Loss,2004,-24,-1,4,-4,14
Win,2004,15,-8,4,-49,23
Win,2004,17,-5,2,-24,5
Win,2004,4,-3,3,-6,10
Loss,2004,-1,-8,1,-36,4
Loss,2004,-2,-3,3,-9,12
Loss,2004,-15,-5,2,-28,9
Loss,2004,-9,-3,5,2,33
Win,2004,20,-4,2,-14,7
Win,2004,12,-1,2,-5,5
Win,2004,4,-3,1,-9,2
Win,2004,10,-4,1,-17,1
Win,2004,5,-7,3,-17,8
Win,2004,26,-5,4,-17,23
Loss,2004,-8,-4,3,-22,15
Win,2004,16,-6,2,-26,7
Loss,2004,-2,-1,1,-3,2
Win,2004,3,-6,1,-36,1
Win,2004,8,-1,3,-15,8
Loss,2004,-1,-1,1,-6,1
Loss,2004,-2,-1,2,-3,5
Win,2004,9,-1,2,-1,7
Win,2005,10,0,16,-101,186
Win,2005,13,-11,3,-32,12
Win,2005,20,-9,4,-51,18
Win,2005,12,-3,7,-3,23
Win,2005,10,-11,3,-85,21
Win,2005,12,-15,1,-200,1
Win,2005,8,-13,2,-136,8
Loss,2005,-4,-1,8,-16,25
Win,2005,17,-11,3,-117,10
Win,2005,8,-1,8,-2,27
Win,2005,12,-5,6,-29,22
Loss,2005,-14,-5,6,-18,30
Win,2005,6,-5,6,-28,24
Win,2005,16,-13,2,-139,4
Win,2005,11,-15,1,-177,5
Win,2005,2,-3,7,-7,38
Loss,2005,-10,-7,5,-20,16
Loss,2005,-1,-11,3,-105,9
Win,2005,6,-13,2,-156,13
Win,2005,11,-15,1,-207,3
Win,2005,5,-9,4,-61,14
Win,2005,12,-7,5,-20,20
Loss,2005,-11,-1,8,-13,37
Win,2005,6,-9,4,-69,7
Win,2005,8,-7,5,-42,11
Loss,2005,-23,-1,8,17,32
Loss,2005,-12,-3,7,18,28
Win,2005,28,-15,1,-184,2
Win,2005,13,-13,2,-134,6
Win,2005,9,-3,7,-24,31
Loss,2005,-3,-9,4,-28,15
Win,2005,8,-7,5,-22,17
Win,2005,5,-5,6,-23,19
Win,2005,22,-8,3,-36,12
Win,2005,12,-8,1,-40,1
Win,2005,9,-5,2,-15,8
Loss,2005,-2,-3,3,-1,21
Loss,2005,-9,-3,3,-14,10
Win,2005,18,-7,1,-22,5
Loss,2005,-6,-5,2,-34,4
Loss,2005,-8,-8,4,-18,18
Win,2005,8,-8,1,-29,3
Win,2005,22,-1,4,-13,7
Win,2005,11,-8,5,-32,11
Loss,2005,-3,-8,2,-15,13
Win,2005,27,-8,1,-48,2
Win,2005,8,-5,2,-25,6
Loss,2005,-11,-1,4,-3,14
Win,2005,9,-8,6,-95,19
Loss,2005,-1,-1,2,-6,6
Win,2005,14,-11,1,-35,1
Loss,2005,-14,-3,1,-2,5
Loss,2005,-5,-1,6,-16,22
Win,2005,10,-4,2,-16,8
Loss,2005,-10,-4,1,-8,3
Win,2005,1,-4,1,-15,2
Win,2005,9,-4,6,-9,19
Win,2005,1,-2,1,-11,1
Win,2005,8,-3,4,-31,7
Loss,2005,-6,-3,2,-3,8
Win,2005,6,-5,1,-17,2
Win,2005,15,-3,1,-6,1
Win,2005,16,-4,1,-9,2
Win,2005,5,0,1,1,1
Win,2006,22,0,16,-101,177
Loss,2006,-5,-3,7,-26,31
Win,2006,12,-9,4,-62,17
Win,2006,16,-15,1,-204,1
Win,2006,26,-11,3,-85,6
Win,2006,3,-1,8,-26,22
Win,2006,4,-11,3,-41,18
Win,2006,9,-9,4,-49,7
Win,2006,4,-5,6,-37,25
Win,2006,16,-9,4,-49,12
Loss,2006,-8,-7,5,-73,27
Win,2006,2,-13,2,-57,14
Loss,2006,-8,-7,5,-13,26
Win,2006,34,-13,2,-169,13
Win,2006,14,-7,5,-47,20
Loss,2006,-8,-5,6,-31,35
Win,2006,20,-3,7,-26,32
Win,2006,19,-1,8,5,36
Loss,2006,-4,-9,4,-26,11
Loss,2006,-4,-1,8,-24,19
Win,2006,13,-15,1,-152,2
Loss,2006,-10,-5,6,-9,29
Win,2006,5,-3,7,-17,16
Win,2006,5,-1,8,-10,34
Win,2006,16,-15,1,-116,5
Loss,2006,-6,-3,7,27,24
Win,2006,4,-11,3,-83,9
Loss,2006,-1,-11,3,-72,15
Win,2006,8,-13,2,-117,8
Win,2006,15,-7,5,-55,10
Win,2006,8,-13,2,-93,4
Win,2006,13,-15,1,-174,3
Win,2006,18,-5,6,-24,21
Win,2006,13,-8,4,-83,17
Win,2006,13,-7,1,-21,1
Win,2006,22,-8,3,-60,6
Win,2006,10,-3,3,-7,18
Win,2006,1,-8,4,-27,12
Win,2006,3,-8,2,-44,13
Loss,2006,-3,-1,4,-13,7
Loss,2006,-7,-5,2,-18,14
Loss,2006,-6,-8,5,-27,10
Win,2006,4,-7,1,-32,2
Loss,2006,-5,-8,3,-29,9
Loss,2006,-18,-5,2,-8,8
Win,2006,16,-8,1,-38,5
Win,2006,21,-8,2,-20,4
Win,2006,4,-7,1,-38,3
Win,2006,13,-8,6,-66,21
Loss,2006,-8,-3,1,-11,1
Win,2006,16,-12,1,-32,5
Win,2006,3,-4,2,-17,4
Win,2006,2,-1,2,-5,13
Win,2006,6,-4,1,-18,2
Win,2006,4,-4,3,-10,6
Loss,2006,-8,-4,7,-6,32
Win,2006,1,-3,1,-14,3
Loss,2006,-10,-2,2,-8,4
Loss,2006,-5,-1,1,-8,5
Loss,2006,-13,-2,1,-3,3
Loss,2006,-2,-10,1,-36,2
Win,2006,15,-8,3,-32,6
Win,2006,14,-2,2,1,12
Loss,2006,-16,-1,2,7,6
Win,2007,8,0,16,-69,162
Win,2007,9,-3,7,-30,34
Win,2007,11,-7,5,-47,21
Win,2007,25,-13,2,-118,8
Win,2007,13,-3,7,-18,28
Win,2007,20,-5,6,-20,33
Win,2007,12,-9,4,-44,11
Loss,2007,-12,-1,8,14,22
Win,2007,21,-15,1,-167,1
Win,2007,21,-15,1,-191,2
Win,2007,21,-11,3,-78,10
Win,2007,16,-11,3,-101,9
Win,2007,28,-13,2,-147,6
Loss,2007,-2,-5,6,-45,13
Win,2007,33,-5,6,-17,54
Win,2007,16,-11,3,-73,23
Loss,2007,-2,-1,8,3,41
Win,2007,43,-15,1,-229,3
Win,2007,40,-15,1,-158,4
Win,2007,9,-1,8,-2,18
Win,2007,15,-13,2,-136,7
Win,2007,6,-3,7,1,30
Win,2007,2,-11,3,-84,15
Loss,2007,-9,-1,8,-20,12
Win,2007,10,-9,4,-76,17
Win,2007,35,-7,5,-67,24
Win,2007,12,-9,4,-67,16
Win,2007,4,-3,7,10,19
Win,2007,17,-7,5,-5,35
Win,2007,27,-9,4,-85,39
Win,2007,2,-7,5,-20,25
Loss,2007,-10,-5,6,-23,14
Win,2007,13,-13,2,-81,5
Loss,2007,-3,-1,4,-10,11
Win,2007,7,-5,2,-26,8
Win,2007,14,-8,1,-21,1
Win,2007,7,-8,1,-39,2
Win,2007,5,-8,3,-48,10
Win,2007,3,-3,3,-24,9
Win,2007,5,-5,2,-22,6
Loss,2007,-4,-3,3,-31,23
Win,2007,7,-8,1,-29,3
Win,2007,12,-7,1,-14,4
Win,2007,16,-5,2,-24,7
Win,2007,14,-8,3,-22,15
Win,2007,15,-1,4,-8,17
Loss,2007,-3,-1,4,15,24
Loss,2007,-6,-5,2,-24,5
Loss,2007,-19,-1,4,-19,16
Win,2007,3,-3,1,-13,4
Win,2007,1,-1,2,-2,7
Win,2007,1,-4,1,-22,2
Win,2007,9,-1,2,-4,6
Win,2007,8,-4,1,-18,3
Win,2007,1,-4,2,-46,8
Win,2007,10,-4,1,-34,1
Win,2007,4,-4,3,-14,15
Win,2007,16,-1,1,-5,2
Loss,2007,-13,-1,1,-2,4
Win,2007,8,-2,1,-12,3
Loss,2007,-12,-1,1,-7,1
Win,2007,10,-1,1,-3,3
Win,2007,7,-1,1,-6,2
Win,2007,9,0,1,1,2
Win,2008,9,0,16,-110,178
Win,2008,1,-13,2,-129,5
Win,2008,24,-15,1,-116,2
Loss,2008,-13,-5,6,-10,22
Win,2008,8,-5,6,-46,14
Win,2008,11,-7,5,-46,18
Win,2008,18,-7,5,-64,23
Win,2008,19,-9,4,-56,16
Win,2008,11,-5,6,-9,29
Win,2008,24,-11,3,-95,10
Loss,2008,-5,-1,8,3,27
Win,2008,41,-15,1,-301,3
Win,2008,13,-1,8,4,41
Win,2008,31,-9,4,-95,12
Win,2008,10,-3,7,-9,19
Win,2008,15,-11,3,-77,6
Win,2008,12,-11,3,-80,11
Loss,2008,-14,-1,8,-18,21
Win,2008,20,-3,7,-31,24
Loss,2008,-6,-3,7,-1,25
Win,2008,19,-13,2,-116,8
Win,2008,18,-11,3,-93,13
Win,2008,24,-15,1,-164,4
Win,2008,14,-3,7,5,31
Win,2008,7,-1,8,5,35
Win,2008,39,-15,1,-177,1
Win,2008,8,-5,6,-18,33
Loss,2008,-1,-9,4,-92,20
Loss,2008,-21,-9,4,-63,34
Win,2008,15,-13,2,-148,7
Win,2008,20,-13,2,-143,9
Loss,2008,-6,-7,5,-36,17
Loss,2008,-2,-7,5,-31,15
Win,2008,19,-7,1,-43,2
Loss,2008,-11,-1,4,-2,16
Win,2008,1,-3,3,-4,10
Win,2008,2,-8,1,-24,3
Win,2008,20,-1,4,-11,12
Loss,2008,-6,-5,2,-14,5
Win,2008,17,-8,3,-26,6
Win,2008,7,-3,3,-18,11
Loss,2008,-4,-8,2,-18,8
Win,2008,30,-3,3,-20,13
Win,2008,3,-7,1,-36,4
Win,2008,31,-8,1,-38,1
Win,2008,5,-5,2,-17,7
Win,2008,3,-5,2,-27,9
Win,2008,12,-1,12,-44,53
Win,2008,9,-1,12,-66,46
Loss,2008,-19,-1,2,-6,7
Win,2008,21,-3,1,-11,1
Win,2008,10,-11,1,-43,3
Win,2008,4,-4,3,-8,11
Loss,2008,-17,-7,3,-20,6
Win,2008,15,-11,1,-51,2
Win,2008,18,-4,1,-14,4
Win,2008,20,-1,2,-1,9
Win,2008,10,-2,1,-12,1
Win,2008,19,-2,1,-8,3
Win,2008,2,-9,1,-24,2
Win,2008,18,-1,1,-5,4
Win,2008,18,0,1,1,1
Win,2008,15,0,1,1,3
Win,2008,7,0,1,-2,2
Win,2009,15,0,16,-23,187
Win,2009,56,-15,1,-205,3
Win,2009,24,-13,2,-154,4
Win,2009,13,-9,4,-93,8
Win,2009,4,-1,8,7,33
Loss,2009,-13,-3,7,-16,28
Win,2009,11,-13,2,-116,6
Loss,2009,-3,-3,7,-16,19
Win,2009,43,-15,1,-163,1
Win,2009,28,-13,2,-135,9
Win,2009,5,-7,5,-71,11
Win,2009,14,-3,7,-3,29
Loss,2009,-13,-1,8,-23,23
Win,2009,1,-5,6,-59,17
Win,2009,13,-11,3,-96,16
Loss,2009,-4,-7,5,-66,21
Win,2009,13,-9,4,-52,18
Loss,2009,-13,-7,5,-17,26
Win,2009,9,-5,6,-32,20
Loss,2009,-15,-9,4,-55,12
Loss,2009,-8,-5,6,-50,14
Win,2009,10,-11,3,-64,15
Win,2009,20,-15,1,-182,5
Win,2009,1,-5,6,-19,22
Win,2009,15,-13,2,-130,7
Win,2009,19,-11,3,-108,10
Win,2009,2,-1,8,-6,30
Win,2009,10,-15,1,-131,2
Loss,2009,-2,-1,8,-33,25
Win,2009,15,-11,3,-82,13
Loss,2009,-17,-3,7,13,34
Loss,2009,-2,-7,5,-4,27
Win,2009,18,-9,4,-78,24
Win,2009,26,-8,1,-43,3
Win,2009,5,-5,2,-25,4
Win,2009,2,-8,4,-79,8
Win,2009,19,-8,2,-38,6
Win,2009,14,-7,1,-39,1
Win,2009,10,-8,2,-26,9
Loss,2009,-2,-1,4,7,11
Win,2009,20,-3,3,-1,16
Win,2009,14,-1,12,-24,43
Win,2009,17,-8,3,-49,15
Win,2009,7,-8,1,-53,5
Win,2009,5,-8,2,-27,7
Win,2009,4,-3,3,-12,10
Win,2009,8,-7,1,-28,2
Win,2009,11,-3,3,-7,13
Win,2009,11,-8,4,-7,24
Win,2009,12,-4,1,-8,3
Loss,2009,-11,-1,2,-4,6
Win,2009,5,-3,1,-22,2
Loss,2009,-23,-1,2,-12,4
Win,2009,39,-11,1,-38,5
Win,2009,5,-1,2,-8,7
Win,2009,21,-3,1,-7,1
Win,2009,13,-1,2,-4,9
Win,2009,7,-2,1,-7,3
Loss,2009,-2,-2,1,-14,2
Loss,2009,-12,-1,1,-2,5
Win,2009,12,-1,1,-8,1
Loss,2009,-9,-1,1,-4,3
Win,2009,14,-2,1,-15,1
Win,2009,17,-1,1,-6,1
Win,2010,17,0,16,29,210
Win,2010,9,-11,3,-98,8
Win,2010,18,-7,5,-11,22
Win,2010,7,-3,7,-39,9
Win,2010,16,-15,1,-203,1
Win,2010,20,-13,2,-148,6
Win,2010,29,-15,1,-152,4
Loss,2010,-1,-9,4,-34,27
Win,2010,5,-11,3,-79,23
Loss,2010,-3,-1,8,13,31
Loss,2010,-14,-11,3,-101,11
Loss,2010,-1,-5,6,-4,39
Loss,2010,-9,-3,7,11,30
Win,2010,3,-5,6,-19,19
Win,2010,3,-13,2,-181,7
Loss,2010,-1,-1,8,-32,13
Loss,2010,-2,-5,6,-18,24
Win,2010,15,-1,8,-8,29
Loss,2010,-13,-7,5,-36,16
Win,2010,29,-15,1,-237,2
Loss,2010,-5,-3,7,4,32
Win,2010,7,-1,8,9,26
Win,2010,12,-9,4,-85,15
Win,2010,3,-7,5,-73,25
Loss,2010,-8,-3,7,7,21
Win,2010,17,-13,2,-114,12
Win,2010,23,-11,3,-83,20
Win,2010,8,-9,4,-43,10
Win,2010,23,-15,1,-142,3
Win,2010,16,-7,5,-23,17
Win,2010,27,-13,2,-139,5
Win,2010,4,-9,4,-68,14
Win,2010,11,-5,6,-28,18
Win,2010,8,-8,3,-35,8
Win,2010,2,-8,5,-39,22
Win,2010,12,-5,2,-3,6
Win,2010,30,-8,1,-41,4
Loss,2010,-2,-8,1,-30,1
Loss,2010,-7,-8,2,-23,7
Win,2010,15,-8,6,-93,19
Loss,2010,-18,-8,3,-19,23
Loss,2010,-18,-8,4,-38,14
Win,2010,15,-7,1,-27,2
Loss,2010,-2,-1,4,-10,15
Win,2010,9,-8,2,-20,12
Win,2010,2,-1,4,-7,10
Win,2010,22,-7,1,-32,3
Win,2010,9,-8,2,-16,5
Loss,2010,-3,-3,3,2,18
Loss,2010,-4,-4,1,-19,3
Win,2010,5,-4,2,-12,6
Win,2010,17,-11,1,-48,4
Win,2010,13,-9,2,-37,5
Win,2010,23,-7,3,-22,8
Win,2010,13,-3,1,-8,2
Win,2010,7,-4,5,-6,25
Loss,2010,-3,-4,2,-7,12
Loss,2010,-7,-3,2,-16,6
Loss,2010,-7,-1,1,-1,4
Win,2010,7,-2,1,-6,2
Win,2010,1,-1,5,6,19
Win,2010,2,0,5,-3,22
Win,2010,21,-1,1,-3,2
Win,2010,2,-4,1,-20,2
Win,2011,18,0,12,-11,42
Win,2011,4,0,16,-52,155
Win,2011,9,0,16,-89,219
Win,2011,13,0,11,15,62
Win,2011,2,-1,8,7,39
Win,2011,8,-11,3,-91,6
Win,2011,15,-5,6,-11,17
Win,2011,29,-11,3,-74,14
Win,2011,28,-13,2,-126,18
Loss,2011,-15,-5,6,-18,23
Win,2011,5,-7,5,4,21
Win,2011,2,-9,4,-64,12
Loss,2011,-1,-9,4,-95,13
Win,2011,23,-15,1,-150,5
Loss,2011,-3,-7,5,-6,30
Win,2011,18,-13,2,-121,4
Win,2011,2,-3,7,-13,32
Win,2011,2,-3,7,10,37
Win,2011,8,-7,5,-23,19
Win,2011,14,-9,4,-23,11
Win,2011,2,-7,5,-45,22
Win,2011,42,-15,1,-175,3
Loss,2011,-7,-3,7,-11,33
Win,2011,4,-1,8,7,24
Loss,2011,-11,-1,8,-7,20
Win,2011,19,-15,1,-164,2
Loss,2011,-11,-5,6,6,29
Win,2011,30,-1,8,-13,38
Win,2011,15,-13,2,-83,15
Win,2011,13,-13,2,-119,8
Win,2011,29,-15,1,-218,1
Win,2011,22,-11,3,-119,9
Win,2011,17,-11,3,-102,10
Win,2011,4,-9,4,-49,7
Loss,2011,-18,-5,6,-61,16
Win,2011,3,-3,7,-26,26
Loss,2011,-1,-7,1,-41,5
Win,2011,22,-8,3,-35,6
Win,2011,11,-3,3,-3,14
Win,2011,8,-5,2,-29,18
Win,2011,8,-1,4,-7,12
Win,2011,17,-1,12,-72,36
Win,2011,7,-5,2,-28,4
Win,2011,5,-1,4,-14,11
Loss,2011,-1,-1,4,-15,7
Win,2011,2,-7,1,-35,3
Loss,2011,-14,-8,2,-36,8
Win,2011,14,-8,1,-25,2
Loss,2011,-4,-8,3,-19,10
Win,2011,3,-5,2,-11,15
Win,2011,32,-7,1,-30,1
Loss,2011,-18,-8,3,-68,9
Loss,2011,-16,-4,1,-19,3
Loss,2011,-7,-4,4,-35,11
Loss,2011,-7,-1,2,-10,4
Win,2011,9,-1,2,12,6
Win,2011,20,-11,1,-34,2
Loss,2011,-2,-3,1,-11,1
Win,2011,18,-9,2,-14,15
Loss,2011,-1,-1,10,-33,44
Loss,2011,-3,-6,2,-28,18
Win,2011,2,-2,3,-8,14
Loss,2011,-7,-2,2,3,12
Loss,2011,-10,-10,1,-75,2
Win,2011,8,-3,8,-31,46
Win,2011,1,-1,3,2,12
Win,2011,12,-5,3,-32,14
Win,2012,6,0,14,-13,39
Win,2012,1,0,16,-31,202
Win,2012,11,0,12,39,31
Win,2012,12,0,16,32,115
Win,2012,8,-11,3,-47,12
Loss,2012,-4,-5,6,-56,24
Win,2012,23,-3,7,-8,30
Win,2012,13,-9,4,-54,9
Win,2012,13,-1,8,-5,32
Win,2012,6,-1,8,-35,22
Win,2012,15,-15,1,-201,1
Win,2012,7,-9,4,-53,18
Win,2012,20,-11,3,-24,15
Win,2012,17,-5,6,-36,40
Win,2012,7,-7,5,-25,16
Win,2012,19,-13,2,-131,2
Win,2012,7,-15,1,-120,5
Loss,2012,-3,-7,5,-40,10
Win,2012,9,-7,5,-23,20
Win,2012,24,-9,4,-89,8
Win,2012,6,-5,6,7,27
Win,2012,1,-1,8,-4,25
Win,2012,26,-3,7,-9,17
Win,2012,3,-11,3,-40,21
Win,2012,15,-11,3,-19,14
Win,2012,15,-13,2,-115,4
Loss,2012,-5,-13,2,-81,11
Win,2012,22,-15,1,-156,3
Loss,2012,-14,-5,6,1,45
Loss,2012,-2,-13,2,-175,7
Win,2012,19,-15,1,-141,6
Loss,2012,-5,-9,4,-49,23
Loss,2012,-3,-3,7,7,28
Loss,2012,-14,-7,5,-34,36
Loss,2012,-7,-1,8,-6,13
Loss,2012,-4,-3,7,-13,42
Win,2012,17,-8,3,-68,12
Win,2012,2,-8,4,-41,9
Win,2012,16,-7,1,-31,1
Win,2012,3,-1,4,2,16
Win,2012,9,-3,3,-25,15
Win,2012,7,-5,2,-28,2
Win,2012,16,-7,1,-17,5
Win,2012,3,-1,4,-12,8
Loss,2012,-6,-3,3,-13,21
Win,2012,34,-8,7,-165,17
Win,2012,3,-8,2,-24,4
Win,2012,4,-8,1,-16,3
Loss,2012,-3,-8,3,-31,14
Win,2012,14,-7,1,-19,6
Loss,2012,-6,-1,12,-2,70
Win,2012,12,-5,10,-37,55
Loss,2012,-10,-4,3,-2,15
Loss,2012,-13,-3,1,-15,3
Win,2012,15,-4,2,-32,2
Win,2012,1,-3,1,-3,5
Win,2012,5,-7,3,-43,12
Win,2012,3,-9,2,-41,4
Win,2012,12,-3,1,-8,1
Win,2012,8,-12,1,-66,6
Win,2012,4,-3,4,1,17
Loss,2012,-7,-1,1,3,2
Loss,2012,-13,-1,1,2,4
Win,2012,12,-2,1,-11,1
Win,2012,2,0,2,2,2
Win,2012,8,-3,1,-17,1
Win,2012,8,-1,1,-3,1
Win,2013,1,0,16,-18,242
Win,2013,13,0,11,-19,34
Win,2013,13,0,16,6,163
Win,2013,9,0,13,-1,57
Win,2013,17,-5,6,-27,23
Win,2013,12,-5,6,-28,45
Loss,2013,-3,-7,5,-17,39
Win,2013,12,-1,8,20,16
Win,2013,6,-15,1,-208,6
Loss,2013,-6,-11,3,-88,17
Win,2013,31,-15,1,-241,1
Win,2013,1,-11,3,-42,22
Win,2013,2,-5,6,-7,27
Win,2013,15,-9,4,-82,11
Win,2013,11,-11,3,-57,8
Loss,2013,-13,-7,5,-29,18
Win,2013,20,-9,4,-64,15
Win,2013,47,-9,4,-120,13
Win,2013,46,-7,5,-36,26
Loss,2013,-18,-1,8,-32,10
Win,2013,4,-3,7,-14,21
Win,2013,12,-13,2,-160,7
Loss,2013,-10,-13,2,-117,9
Win,2013,32,-11,3,-135,3
Win,2013,8,-3,7,-8,44
Win,2013,21,-15,1,-167,2
Loss,2013,-18,-3,7,-9,24
Win,2013,7,-15,1,-178,4
Loss,2013,-2,-9,4,-37,20
Win,2013,29,-13,2,-116,14
Loss,2013,-20,-5,6,11,30
Loss,2013,-11,-7,5,-16,12
Win,2013,7,-1,8,-21,19
Win,2013,25,-13,2,-93,5
Win,2013,15,-3,7,-11,32
Loss,2013,-4,-1,8,-30,25
Win,2013,23,-8,6,-82,23
Win,2013,26,-7,1,-35,1
Win,2013,2,-3,3,-23,22
Win,2013,25,-1,4,-15,11
Win,2013,22,-3,3,-19,8
Loss,2013,-17,-8,4,-32,15
Win,2013,6,-8,4,-43,13
Loss,2013,-6,-8,1,-36,6
Win,2013,16,-5,2,-14,7
Loss,2013,-10,-8,7,-94,32
Win,2013,14,-8,3,-27,3
Win,2013,6,-8,1,-53,2
Win,2013,12,-7,1,-15,4
Loss,2013,-2,-1,12,-29,28
Win,2013,4,-5,2,-30,14
Win,2013,3,-8,2,-28,5
Loss,2013,-10,-1,2,-8,14
Win,2013,3,-4,2,-18,5
Loss,2013,-11,-3,1,-11,2
Win,2013,14,-4,9,-15,42
Win,2013,10,-1,2,-1,7
Win,2013,12,-12,3,-123,3
Win,2013,8,-11,1,-46,1
Loss,2013,-2,-3,1,-7,4
Loss,2013,-16,-1,3,9,13
Loss,2013,-4,-7,2,-37,5
Win,2013,22,-1,1,-6,1
Loss,2013,-20,-1,3,-8,3
Win,2013,4,-8,1,-41,1
Win,2013,5,0,4,-2,11
Win,2013,6,-3,1,-10,1
Win,2014,7,0,16,-30,185
Win,2014,15,0,12,19,48
Win,2014,12,0,16,-79,175
Win,2014,13,0,11,8,17
Win,2014,8,-3,7,-32,24
Loss,2014,-1,-5,6,-44,14
Win,2014,12,-15,1,-182,3
Loss,2014,-4,-7,5,-7,28
Win,2014,7,-9,4,-72,2
Win,2014,17,-13,2,-182,10
Win,2014,15,-9,4,-98,8
Loss,2014,-5,-7,5,-39,26
Win,2014,19,-3,7,-12,30
Loss,2014,-29,-1,8,35,20
Win,2014,4,-9,4,-57,22
Win,2014,3,-7,5,-31,36
Win,2014,24,-11,3,-104,19
Win,2014,2,-3,7,2,37
Win,2014,20,-13,2,-161,4
Win,2014,40,-13,2,-108,9
Win,2014,9,-15,1,-170,1
Win,2014,14,-5,6,-25,29
Win,2014,10,-11,3,-108,11
Win,2014,8,-1,8,5,16
Win,2014,18,-11,3,-70,13
Win,2014,11,-13,2,-137,6
Win,2014,7,-1,8,-22,18
Win,2014,5,-1,8,-5,41
Loss,2014,-7,-11,3,-82,7
Win,2014,2,-5,6,-18,27
Loss,2014,-2,-7,5,-59,23
Loss,2014,-5,-3,7,-2,31
Loss,2014,-19,-5,6,22,25
Win,2014,17,-9,4,-56,15
Win,2014,11,-15,1,-219,5
Win,2014,27,-15,1,-163,12
Loss,2014,-12,-5,2,-20,4
Loss,2014,-2,-8,3,-39,19
Win,2014,16,-8,1,-17,3
Win,2014,15,-1,4,-34,2
Win,2014,14,-5,2,-29,10
Win,2014,7,-8,4,-27,8
